Date,Open,High,Low,Close,Adj Close,Volume
15/5/2018,63.197498,63.224998,60.375,61.389999,60.798046,96352800
16/5/2018,61,62.130001,60.627499,61.502499,60.909462,55382800
17/5/2018,61.52,62.875,61.357498,61.927502,61.330368,51978400
18/5/2018,62.452499,63.092499,61.435001,61.485001,60.892132,48371600
21/5/2018,62.470001,62.5075,60.122501,61.060001,60.471241,64062400
22/5/2018,61.195,61.450001,60.0625,60.674999,60.089939,51826400
23/5/2018,60.07,61.897499,60.0625,61.884998,61.326172,44295600
24/5/2018,61.8475,62.349998,61.310001,61.922501,61.36335,43737200
25/5/2018,62.049999,62.485001,61.689999,62.32,61.757252,29211200
29/5/2018,62.137501,62.834999,61.674999,62.147499,61.586311,35268400
30/5/2018,62.487499,63.334999,62.237499,63.247501,62.676376,39099600
31/5/2018,62.924999,63.799999,62.817501,63.047501,62.478191,49386800
1/6/2018,63.5,64.467499,63.412498,64.404999,63.823418,42196800
4/6/2018,64.75,66.434998,64.425003,66.212502,65.614601,64202400
5/6/2018,66.245003,66.647499,65.792503,66.267502,65.669113,39171200
6/6/2018,65.357498,66.32,65.192497,66.287498,65.688911,37135600
7/6/2018,66.25,66.370003,64.8125,65.724998,65.131508,36944800
8/6/2018,64.989998,66,64.800003,65.57,64.977913,36045600
11/6/2018,65.442497,65.862503,65.025002,65.154999,64.566681,26537200
12/6/2018,65.422501,65.767502,64.915001,65.644997,65.052254,31916000
13/6/2018,65.660004,66.417503,65.5075,65.599998,65.007629,33820800
14/6/2018,66.055,67.300003,65.904999,66.727501,66.124947,43001600
15/6/2018,66.150002,66.870003,65.837502,66.315002,65.716202,43226000
18/6/2018,65.870003,66.449997,65.595001,66.272499,65.674065,35626800
19/6/2018,65.230003,65.910004,63.755001,65.042503,64.455177,59493200
20/6/2018,65.457497,66.112503,65.07,65.577499,64.985352,36978000
21/6/2018,65.900002,66.084999,64.199997,64.277496,63.697067,35951600
22/6/2018,64.487503,64.622498,62.5825,62.737499,62.170982,43416000
25/6/2018,61.662498,61.700001,58.884998,59.779999,59.240185,66581600
26/6/2018,60.924999,61.412498,59.977501,60.497501,59.95121,47888400
27/6/2018,60.9375,61.607498,58.875,58.93,58.397869,45389200
28/6/2018,58.830002,60.334999,58.752499,60.215,59.671257,33801200
29/6/2018,60.872501,61,59.212502,59.224998,58.690205,39230000
2/7/2018,58.522499,60.5975,58.314999,60.560001,60.013145,35757200
3/7/2018,60.91,60.970001,59.125,59.209999,58.675343,22273200
5/7/2018,59.767502,60.732498,59.375,60.682499,60.134544,30621600
6/7/2018,60.435001,61.9175,60.220001,61.8325,61.274162,29635200
9/7/2018,62.5825,62.68,61.517502,62.3125,61.749817,30388000
10/7/2018,62.4375,63.535,62.029999,63.3125,62.740791,36001600
11/7/2018,62.375,62.724998,61.775002,61.8825,61.323708,36750800
12/7/2018,62.34,63.2925,62.240002,62.807499,62.240341,34550800
13/7/2018,62.994999,62.994999,61.904999,62.330002,61.76717,24698800
16/7/2018,62.049999,62.584999,61.924999,62.049999,61.489693,19703600
17/7/2018,61.552502,63.575001,61.294998,63.422501,62.849792,36213600
