Date,Open,High,Low,Close,Adj Close
1/2/1987,521.640015,536.51001,496.529999,513.969971,513.83783
1/3/1987,500.329987,511.220001,447.029999,511.220001,511.088593
1/4/1987,505.369995,572.590027,505.369995,566.219971,566.074402
1/5/1987,566.219971,609.859985,551.969971,609.859985,609.703186
1/6/1987,614.080017,944.830017,614.080017,918.409973,918.173889
1/7/1987,963.559998,1335.540039,963.559998,1055.219971,1054.94873
1/8/1987,1195.849976,1258.48999,981.400024,1099.689941,1099.407227
1/9/1987,1015.159973,1047.189941,705.669983,753.140015,752.946411
1/10/1987,821.599976,909.77002,738.210022,755.039978,754.845886
1/11/1987,784.98999,789.710022,639.570007,708.330017,708.147949
1/12/1987,693,816.210022,649.640015,816.210022,816.000183
1/1/1988,832.320007,878.780029,820.77002,827.359985,827.147278
1/2/1988,793.320007,841.700012,761.940002,761.940002,761.744141
1/3/1988,766.679993,796.289978,746.119995,753.919983,753.726196
1/4/1988,753.919983,797.669983,740.76001,797.669983,797.464905
1/5/1988,800.559998,825.460022,775.469971,803.929993,803.723328
1/6/1988,812.909973,883.200012,812.909973,844.210022,843.992981
1/7/1988,847.52002,873.700012,839.900024,865.51001,865.287537
1/8/1988,864.219971,872.619995,738.080017,780.099976,779.899414
1/9/1988,769.409973,769.409973,688.419983,696.900024,696.720886
1/10/1988,697.880005,743.210022,684.390015,723.599976,723.41394
1/11/1988,723.599976,737.900024,717.320007,729.349976,729.162476
1/12/1988,737.830017,839,737.830017,839,838.784302
1/1/1989,844.76001,862.369995,823.75,837.109985,836.894775
1/2/1989,822.51001,863.52002,804.390015,863.52002,863.298035
1/3/1989,871.099976,930.210022,868.549988,907.530029,907.296753
1/4/1989,940.830017,1000.320007,920.190002,1000.320007,1000.062866
1/5/1989,1000.320007,1095.839966,991.969971,1040.449951,1040.182495
1/6/1989,1023.940002,1068.280029,1011.51001,1011.51001,1011.25
1/7/1989,1003.849976,1195.380005,976.26001,1168.359985,1168.05957
1/8/1989,1152.380005,1212.920044,1118.599976,1123.469971,1123.181152
1/9/1989,1157.25,1157.25,1121.47998,1142.27002,1141.976318
1/10/1989,1124.469971,1300.069946,1115.02002,1300.069946,1299.735718
1/11/1989,1300.069946,1395.359985,1300.069946,1313.609985,1313.272339
1/12/1989,1313.609985,1313.609985,985.059998,1110.640015,1110.354492
1/1/1990,1120.76001,1131.369995,1052.469971,1052.589966,1052.319336
1/2/1990,1047.349976,1060.660034,1020.609985,1022.049988,1021.787231
1/3/1990,1024.280029,1163.650024,1021.349976,1104.310059,1104.026123
1/4/1990,1098.089966,1104.52002,945.369995,945.369995,945.126953
1/5/1990,945.369995,1001.530029,803.159973,822.289978,822.078613
1/6/1990,821.869995,948.460022,745.72998,890.849976,890.620972
1/7/1990,877,941.049988,841.52002,941.049988,940.808044
1/8/1990,942.26001,943.679993,687.619995,751.859985,751.666687
1/9/1990,751.349976,751.349976,546.900024,548.289978,548.149048
