Sport,Discipline,Event,Event_gender,Athlete_Name,Gender,Country_ID,Bronze,Silver,Gold
Athletics,Athletics,4x400m relay,W,"STEVENS, Rochelle",Women,USA,0,1,0
Hockey,Hockey,hockey,W,"MOTOS, Teresa",Women,ESP,0,0,1
Gymnastics,Artistic G.,horizontal bar,M,"DIMAS, Trent",Men,USA,0,0,1
Rowing,Rowing,double sculls (2x),M,"HAWKINS, Stephen Mark",Men,AUS,0,0,1
Rowing,Rowing,pair-oared shell with coxswain (2+),M,"RADUCANU, Dumitru",Men,ROU,1,0,0
Athletics,Athletics,200m,M,"FREDERICKS, Frank",Men,NAM,0,1,0
Volleyball,Volleyball,volleyball,M,"SELINGER, Avital",Men,NED,0,1,0
Aquatics,Swimming,4x100m medley relay,W,"WAGSTAFF, Elizabeth",Women,USA,0,0,1
Handball,Handball,handball,W,"HOGNESS, Hanne",Women,NOR,0,1,0
Handball,Handball,handball,W,"GORB, Tatiana",Women,EUN,1,0,0
Hockey,Hockey,hockey,W,"GABELLANES, Nagore",Women,ESP,0,0,1
Sailing,Sailing,flying dutchman,X,"BOJSEN MOLLER, Jorgen",Men,DEN,1,0,0
Basketball,Basketball,basketball,M,"MALONE, Karl",Men,USA,0,0,1
Handball,Handball,handball,W,"SVENDSEN, Cathrine",Women,NOR,0,1,0
Hockey,Hockey,hockey,W,"SIXSMITH, Jane Theresa",Women,GBR,1,0,0
Athletics,Athletics,triple jump,M,"CONLEY, Mike",Men,USA,0,0,1
Athletics,Athletics,4x400m relay,W,"KAISER, Natasha",Women,USA,0,1,0
Weightlifting,Weightlifting,"82.5 - 90kg, total (middle-heavyweight)",M,"SYRTSOV, Serguei",Men,EUN,0,1,0
Gymnastics,Artistic G.,floor exercises,W,"MILLER, Shannon",Women,USA,1,0,0
Sailing,Sailing,two-person keelboat open (Star),X,"HAENEL, Harold",Men,USA,0,0,1
Volleyball,Volleyball,volleyball,M,"STORK, Jeffrey Malcolm",Men,USA,1,0,0
Rowing,Rowing,quadruple sculls without coxswain (4x),M,"UNDSET, Kjetil",Men,NOR,0,1,0
Handball,Handball,handball,W,"DAHLE, Mona",Women,NOR,0,1,0
Rowing,Rowing,eight with coxswain (8+),W,"HARZENDORF, Christiane",Women,GER,1,0,0
Volleyball,Volleyball,volleyball,M,"BOUDRIE, Ronald",Men,NED,0,1,0
Shooting,Shooting,50m running target (30+30 shots),M,"JAKOSITS, Michael",Men,GER,0,0,1
Rowing,Rowing,coxless four (4-),W,"TAYLOR, Brenda Susan",Women,CAN,0,0,1
Table Tennis,Table Tennis,doubles,W,"DENG, Yaping",Women,CHN,0,0,1
Hockey,Hockey,hockey,M,"ANJUM, Saeed",Men,PAK,1,0,0
Aquatics,Swimming,100m breaststroke,M,"ROZSA, Norbert",Men,HUN,0,1,0
Rowing,Rowing,eight with coxswain (8+),M,"WESSLING, Ansgar",Men,GER,1,0,0
Wrestling,Wrestling Gre-R,68 - 74kg (welterweight),M,"ISKANDARIAN, Mnatsakan",Men,EUN,0,0,1
Rowing,Rowing,eight with coxswain (8+),W,"HAACKER, Kathrin",Women,GER,1,0,0
Sailing,Sailing,fleet/match race keelboat open (Soling),X,"BANK, Jesper",Men,DEN,0,0,1
Rowing,Rowing,quadruple sculls without coxswain (4x),M,"BJÖNNESS, Lars",Men,NOR,0,1,0
Rowing,Rowing,four without coxswain (4-),M,"TOMKINS, James",Men,AUS,0,0,1
Canoe / Kayak,Canoe / Kayak F,K-4 1000m (kayak four),M,"WOHLLEBE, Andre Gerhard",Men,GER,0,0,1
Athletics,Athletics,400m,W,"RESTREPO GAVIRIA, Ximena",Women,COL,1,0,0
Athletics,Athletics,5000m,M,"BAUMANN, Dieter",Men,GER,0,0,1
Basketball,Basketball,basketball,M,"DREXLER, Clyde",Men,USA,0,0,1
Equestrian,Dressage,team,X,"SANDERS-KEYZER, Annemarie",Women,NED,0,1,0
Basketball,Basketball,basketball,W,"JONES, Carolyn",Women,USA,1,0,0
Hockey,Hockey,hockey,W,"BAREA, Maria Del Carme N",Women,ESP,0,0,1
Equestrian,Eventing,individual,X,"BLÖCKER, Herbert",Men,GER,0,1,0
Aquatics,Swimming,4x100m medley relay,M,"OLSEN, Jon",Men,USA,0,0,1
Football,Football,football,M,"LAPINSKI, Tomasz",Men,POL,0,1,0
Rowing,Rowing,eight with coxswain (8+),W,"PADURARIU, Maria",Women,ROU,0,1,0
Modern Pentathlon,Modern Pentath.,Individual competition,M,"SKRZYPASZEK, Arkadiusz",Men,POL,0,0,1
Canoe / Kayak,Canoe / Kayak F,K-2 1000m (kayak double),M,"KOTOWICZ, Grzegorz",Men,POL,1,0,0
Sailing,Sailing,flying dutchman,X,"BOURDOW, Stephen",Men,USA,0,1,0
Aquatics,Swimming,4x100m freestyle relay,W,"TORRES, Dara",Women,USA,0,0,1
Rowing,Rowing,eight with coxswain (8+),M,"SENNEWALD, Hans",Men,GER,1,0,0
Athletics,Athletics,4x400m relay,W,"NAZAROVA, Olga",Women,EUN,0,0,1
Hockey,Hockey,hockey,W,"BARRIO, Sonia",Women,ESP,0,0,1
Gymnastics,Rhythmic G.,individual all-round,W,"SKALDINA, Oksana",Women,EUN,1,0,0
Aquatics,Swimming,100m butterfly,M,"SZUKALA, Rafal",Men,POL,0,1,0
Athletics,Athletics,4x100m relay,M,"EZINWA, Osmond",Men,NGR,0,1,0
Fencing,Fencing,épée team,M,"KOLCZONAI, Erno",Men,HUN,0,1,0
Aquatics,Swimming,4x200m freestyle relay,M,"FROLANDER, Lars",Men,SWE,0,1,0
Aquatics,Water polo,water polo,M,"PEDREROL, Sergi",Men,ESP,0,1,0
Fencing,Fencing,foil team,W,"GRIGORESCU, Claudia Laura",Women,ROU,1,0,0
Cycling,Cycling Road,team time trial,M,"COLOMBO, Luca",Men,ITA,0,1,0
Sailing,Sailing,fleet/match race keelboat open (Soling),X,"SECHER, Steen Klaaborg",Men,DEN,0,0,1
Fencing,Fencing,sabre team,M,"GRANGER-VEYRON, Herve",Men,FRA,1,0,0
Baseball,Baseball,baseball,M,"WAKABAYASHI, Shigeki",Men,JPN,1,0,0
Equestrian,Eventing,individual,X,"RYAN, Matthew Morgan",Men,AUS,0,0,1
Volleyball,Volleyball,volleyball,W,"MENCHOVA, Tatiana",Women,EUN,0,1,0
Wrestling,Wrestling Free.,48 - 52kg (flyweight),M,"JONES, Larry Lee",Men,USA,0,1,0
Athletics,Athletics,5000m,M,"BITOK, Paul",Men,KEN,0,1,0
Shooting,Shooting,50m rifle 3 positions (3x20 shots),W,"MEILI, Launi Kay",Women,USA,0,0,1
Wrestling,Wrestling Gre-R,74 - 82kg (middleweight),M,"STEPIEN, Piotr",Men,POL,0,1,0
Basketball,Basketball,basketball,W,"PENG, Ping",Women,CHN,0,1,0
Weightlifting,Weightlifting,"90 - 100kg, total (first-heavyweight)",M,"TAIMAZOV, Timour",Men,EUN,0,1,0
Rowing,Rowing,double sculls (2x),W,"BORON, Kathrin",Women,GER,0,0,1
Weightlifting,Weightlifting,"100 - 110kg, total (heavyweight)",M,"WELLER, Ronny",Men,GER,0,0,1
Sailing,Sailing,flying dutchman,X,"DORESTE, Luis",Men,ESP,0,0,1
Athletics,Athletics,marathon,W,"YEGOROVA, Valentina",Women,EUN,0,0,1
Basketball,Basketball,basketball,W,"BOUNATIANTS, Elen",Women,EUN,0,0,1
Hockey,Hockey,hockey,M,"REID, Graham",Men,AUS,0,1,0
Fencing,Fencing,sabre individual,M,"MARIN, Marco",Men,ITA,0,1,0
Weightlifting,Weightlifting,"+ 110kg, total (super heavyweight)",M,"KURLOVICH, Alexandre",Men,EUN,0,0,1
Rowing,Rowing,eight with coxswain (8+),W,"CRAWFORD, Shannon",Women,CAN,0,0,1
Rowing,Rowing,four-oared shell with coxswain (4-),M,"TOMIAK, Tomasz",Men,POL,1,0,0
Aquatics,Swimming,200m individual medley,M,"BURGESS, Gregory",Men,USA,0,1,0
Volleyball,Volleyball,volleyball,W,"FERNANDEZ, Ana Ibis",Women,CUB,0,0,1
Equestrian,Dressage,individual,X,"WERTH, Isabell",Women,GER,0,1,0
Athletics,Athletics,4x100m relay,W,"JONES, Esther",Women,USA,0,0,1
Volleyball,Volleyball,volleyball,W,"NIKOULINA, Marina",Women,EUN,0,1,0
Athletics,Athletics,3000m,W,"DOROVSKIH, Tatiana",Women,EUN,0,1,0
Handball,Handball,handball,W,"SKOTVOLL, Annette",Women,NOR,0,1,0
Judo,Judo,86 - 95kg (half-heavyweight),M,"KOVACS, Antal",Men,HUN,0,0,1
Fencing,Fencing,sabre individual,M,"LAMOUR, Jean-Francois",Men,FRA,1,0,0
Athletics,Athletics,4x100m relay,M,"MARSH, Michael",Men,USA,0,0,1
Athletics,Athletics,high jump,W,"HENKEL, Heike",Women,GER,0,0,1
Gymnastics,Artistic G.,individual all-round,W,"MILOSOVICI, Lavinia Corina",Women,ROU,1,0,0
Weightlifting,Weightlifting,"60 - 67.5kg, total (lightweight)",M,"MILITOSIAN, Israel",Men,EUN,0,0,1
Boxing,Boxing,75 - 81kg (light-heavyweight),M,"ZAOULITCHNI, Rostislav",Men,EUN,0,1,0
Rowing,Rowing,eight with coxswain (8+),M,"FORGERON, Michael Joseph",Men,CAN,0,0,1
