Sport,Discipline,Event,Event_gender,Athlete_Name,Gender,Country_ID,Bronze,Silver,Gold
Volleyball,Volleyball,volleyball,M,"MACAVEI, Sorin",Men,ROU,1,0,0
Gymnastics,Artistic G.,team competition,M,"GUCZOGHY, György",Men,HUN,1,0,0
Weightlifting,Weightlifting,"60 - 67.5kg, total (lightweight)",M,"KUNZ, Joachim",Men,GDR,0,1,0
Gymnastics,Artistic G.,parallel bars,M,"BRÜCKNER, Roland",Men,GDR,1,0,0
Volleyball,Volleyball,volleyball,W,"RAZUMOVA, Natalia",Women,URS,0,0,1
Hockey,Hockey,hockey,W,"CHASE, Elizabeth Muriel",Women,ZIM,0,0,1
Sailing,Sailing,fleet/match race keelboat open (Soling),X,"BOUDOURIS, Anastassios",Men,GRE,1,0,0
Aquatics,Swimming,200m freestyle,M,"KOPLYAKOV, Sergei",Men,URS,0,0,1
Canoe / Kayak,Canoe / Kayak F,C-1 1000m (canoe single),M,"LEUE, Eckhard",Men,GDR,1,0,0
Athletics,Athletics,hammer throw,M,"SEDYKH, Yuri",Men,URS,0,0,1
Wrestling,Wrestling Gre-R,52 - 57kg (bantamweight),M,"LJUNGBECK, Benni",Men,SWE,1,0,0
Football,Football,football,M,"CHERENKOV, Fiodor",Men,URS,1,0,0
Rowing,Rowing,quadruple sculls with coxswain (4x),W,"GEORGIEVA, Stanka",Women,BUL,1,0,0
Wrestling,Wrestling Free.,62 - 68kg (lightweight),M,"ABSAIDOV, Saipulla",Men,URS,0,0,1
Football,Football,football,M,"KHIDIATULLIN, Vagiz",Men,URS,1,0,0
Cycling,Cycling Road,team time trial,M,"KONECNY, Vlastibor",Men,TCH,1,0,0
Wrestling,Wrestling Gre-R,90 - 100kg (heavyweight),M,"BIERLA, Roman",Men,POL,0,1,0
Rowing,Rowing,eight with coxswain (8+),W,"BUCUR, Florica",Women,ROU,1,0,0
Gymnastics,Artistic G.,team competition,M,"MAKUTS, Bogdan",Men,URS,0,0,1
Hockey,Hockey,hockey,W,"HUGGETT, Susan",Women,ZIM,0,0,1
Modern Pentathlon,Modern Pentath.,Team competition,M,"MARACSKO, Tibor",Men,HUN,0,1,0
Sailing,Sailing,fleet/match race keelboat open (Soling),X,"JENSEN, Poul Richard Hoj",Men,DEN,0,0,1
Football,Football,football,M,"GAZZAEV, Valeri",Men,URS,1,0,0
Athletics,Athletics,long jump,M,"PODLUZHNYI, Valeri",Men,URS,1,0,0
Athletics,Athletics,long jump,M,"DOMBROWSKI, Lutz",Men,GDR,0,0,1
Handball,Handball,handball,M,"FEDYUKIN, Anatoli",Men,URS,0,1,0
Judo,Judo,71 - 78kg (half-middleweight),M,"HEINKE, Harald",Men,GDR,1,0,0
Volleyball,Volleyball,volleyball,M,"CHIFU, Valter Corneliu",Men,ROU,1,0,0
Canoe / Kayak,Canoe / Kayak F,K-2 500m (kayak double),M,"PARFENOVICH, Vladimir",Men,URS,0,0,1
Aquatics,Swimming,400m freestyle,W,"SCHNEIDER, Petra",Women,GDR,0,1,0
Handball,Handball,handball,M,"BIRTALAN, Stefan",Men,ROU,1,0,0
Aquatics,Swimming,200m freestyle,W,"SCHMIDT, Carmela",Women,GDR,1,0,0
Football,Football,football,M,"BAHRINGER, Jurgen",Men,GDR,0,1,0
Aquatics,Swimming,200m freestyle,M,"BREWER, Graeme",Men,AUS,1,0,0
Sailing,Sailing,Tornado - Multihull,X,"RAGNARSSON, Jörgen",Men,SWE,1,0,0
Cycling,Cycling Road,team time trial,M,"HARTNICK, Hans-Joachim",Men,GDR,0,1,0
Weightlifting,Weightlifting,"56 - 60kg, total (featherweight)",M,"MAZIN, Viktor",Men,URS,0,0,1
Hockey,Hockey,hockey,M,"SURINDER, Singh",Men,IND,0,0,1
Football,Football,football,M,"LIEBERS, Matthias",Men,GDR,0,1,0
Boxing,Boxing,67 - 71kg (light-middleweight),M,"KOSHKIN, Aleksandr",Men,URS,0,1,0
Shooting,Shooting,skeet (125 targets),X,"RASMUSSEN, Hans Kjeld",Men,DEN,0,0,1
Weightlifting,Weightlifting,"100 - 110kg, total (heavyweight)",M,"TARANENKO, Leonid",Men,URS,0,0,1
Football,Football,football,M,"BESSONOV, Vladimir",Men,URS,1,0,0
Aquatics,Swimming,4x100m medley relay,M,"KERRY, Mark",Men,AUS,0,0,1
Boxing,Boxing,+ 81kg (heavyweight),M,"STEVENSON, Teofilo",Men,CUB,0,0,1
Hockey,Hockey,hockey,M,"KLEVTSOV, Sergei",Men,URS,1,0,0
Weightlifting,Weightlifting,"90 - 100kg, total (first-heavyweight)",M,"NIKITIN, Igor",Men,URS,0,1,0
Fencing,Fencing,foil team,W,"SIDOROVA, Valentina",Women,URS,0,1,0
Aquatics,Diving,10m platform,W,"EMIRZIAN, Servard",Women,URS,0,1,0
Athletics,Athletics,10000m,M,"KEDIR, Mohammed",Men,ETH,1,0,0
Aquatics,Swimming,4x200m freestyle relay,M,"PFÜTZE, Frank",Men,GDR,0,1,0
Aquatics,Swimming,200m butterfly,W,"SCHÖNROCK, Sybille",Women,GDR,0,1,0
Athletics,Athletics,100m hurdles,W,"KOMISOVA, Vera",Women,URS,0,0,1
Cycling,Cycling Track,Sprint indivual,M,"KOPYLOV, Sergei",Men,URS,1,0,0
Gymnastics,Artistic G.,individual all-round,W,"COMANECI, Nadia",Women,ROU,0,1,0
Rowing,Rowing,pair-oared shell with coxswain (2+),M,"PEREVERZEV, Viktor",Men,URS,0,1,0
Rowing,Rowing,coxless pair (2-),M,"LANDVOIGT, Jörg",Men,GDR,0,0,1
Hockey,Hockey,hockey,M,"MANEYPANDA, Somaya",Men,IND,0,0,1
Athletics,Athletics,long jump,W,"SKACHKO, Tatiana",Women,URS,1,0,0
Handball,Handball,handball,W,"ANASTASOVSKI, Svetlana",Women,YUG,0,1,0
Boxing,Boxing,48 - 51kg (flyweight),M,"RUSSELL, Hugh",Men,IRL,1,0,0
Athletics,Athletics,4x100m relay,W,"SMALLWOOD-COOK, Kathryn",Women,GBR,1,0,0
Athletics,Athletics,4x100m relay,M,"PROKOFIEV, Andrei",Men,URS,0,0,1
Equestrian,Eventing,team,X,"SCIOCCHETTI, Marina",Women,ITA,0,1,0
Athletics,Athletics,400m hurdles,M,"BECK, Volker",Men,GDR,0,0,1
Hockey,Hockey,hockey,W,"PRINSLOO, Christine",Women,ZIM,0,0,1
Gymnastics,Artistic G.,individual all-round,M,"ANDRIANOV, Nikolay",Men,URS,0,1,0
Fencing,Fencing,sabre team,M,"HAMMANG, Ferenc",Men,HUN,1,0,0
Volleyball,Volleyball,volleyball,M,"LASHCHENOV, Fiodor",Men,URS,0,0,1
Gymnastics,Artistic G.,vault,M,"BRÜCKNER, Roland",Men,GDR,1,0,0
Rowing,Rowing,eight with coxswain (8+),M,"MOYNIHAN, Colin",Men,GBR,0,1,0
Judo,Judo,78 - 86kg (middleweight),M,"YATSKEVICH, Aleksandr",Men,URS,1,0,0
Football,Football,football,M,"SVOBODA, Jindrich",Men,TCH,0,0,1
Hockey,Hockey,hockey,M,"FABREGAS BOSCH, Francisco",Men,ESP,0,1,0
Hockey,Hockey,hockey,M,"PLESHAKOV, Sergei",Men,URS,1,0,0
Aquatics,Water polo,water polo,M,"CSAPO, Gabor",Men,HUN,1,0,0
Football,Football,football,M,"UHLIG, Frank",Men,GDR,0,1,0
Volleyball,Volleyball,volleyball,M,"PETKOV, Petko",Men,BUL,0,1,0
Rowing,Rowing,pair-oared shell with coxswain (2+),M,"LUKYANOV, Aleksandr",Men,URS,0,1,0
Rowing,Rowing,eight with coxswain (8+),M,"KOKOSHIN, Viktor",Men,URS,1,0,0
Gymnastics,Artistic G.,rings,M,"DITYATIN, Aleksandr",Men,URS,0,0,1
Sailing,Sailing,Tornado - Multihull,X,"WELTER, Alexandre",Men,BRA,0,0,1
Sailing,Sailing,flying dutchman,X,"WILKINS, David",Men,IRL,0,1,0
Handball,Handball,handball,W,"TIETZ, Marion",Women,GDR,1,0,0
Aquatics,Diving,10m platform,W,"JÄSCHKE, Martina",Women,GDR,0,0,1
Aquatics,Swimming,4x100m medley relay,W,"KRUGLOVA, Elena",Women,URS,1,0,0
Weightlifting,Weightlifting,"90 - 100kg, total (first-heavyweight)",M,"BLANCO FERNANDEZ, Alberto",Men,CUB,1,0,0
Aquatics,Swimming,4x100m medley relay,M,"GOODHEW, Dunkan",Men,GBR,1,0,0
Fencing,Fencing,sabre team,M,"KROVOPUSKOV, Viktor",Men,URS,0,0,1
Rowing,Rowing,four-oared shell with coxswain (4-),M,"BERZINSH, Yuris",Men,URS,0,1,0
Hockey,Hockey,hockey,W,"URBANOVA, Marta",Women,TCH,0,1,0
Athletics,Athletics,shot put,W,"DROESE-PUFE, Margitta",Women,GDR,1,0,0
Athletics,Athletics,triple jump,M,"UUDMAE, Yaak",Men,URS,0,0,1
Volleyball,Volleyball,volleyball,M,"DOROKHOV, Vladimir",Men,URS,0,0,1
Handball,Handball,handball,W,"KARLOVA, Larisa",Women,URS,0,0,1
Aquatics,Water polo,water polo,M,"KRIVOKAPIC, Milorad",Men,YUG,0,1,0
Equestrian,Dressage,team,X,"UGRYUMOV, Viktor",Men,URS,0,0,1
Aquatics,Swimming,100m backstroke,M,"BARON, Bengt",Men,SWE,0,0,1
Canoe / Kayak,Canoe / Kayak F,K-4 1000m (kayak four),M,"KHRISTOV, Lazar",Men,BUL,1,0,0
Athletics,Athletics,marathon,M,"CIERPINSKI, Waldemar",Men,GDR,0,0,1
Aquatics,Swimming,800m freestyle,W,"DÄHNE, Heike",Women,GDR,1,0,0
Boxing,Boxing,67 - 71kg (light-middleweight),M,"KÄSTNER, Detlef",Men,GDR,1,0,0
