Sport,Discipline,Event,Event_gender,Athlete_Name,Gender,Country_ID,Bronze,Silver,Gold
Sailing,Sailing,fleet/match race keelboat open (Soling),X,"JOHANNESSEN, Herman Horn",Men,NOR,1,0,0
Taekwondo,Taekwondo,- 49 kg,W,"CHI, Shu-Ju",Women,TPE,1,0,0
Judo,Judo,66 - 73kg (lightweight),M,"LARYUKOV, Anatoly",Men,BLR,1,0,0
Aquatics,Diving,synchronized diving 3m springboard,M,"SAUTIN, Dmitry",Men,RUS,0,1,0
Athletics,Athletics,marathon,W,"TAKAHASHI, Naoko",Women,JPN,0,0,1
Shooting,Shooting,skeet (125 targets),M,"GRAVES, James",Men,USA,1,0,0
Handball,Handball,handball,M,"KOULINTCHENKO, Stanislav",Men,RUS,0,0,1
Hockey,Hockey,hockey,M,"DE NOOIJER, Teun",Men,NED,0,0,1
Aquatics,Swimming,4x200m freestyle relay,M,"DUSING, Nate",Men,USA,0,1,0
Archery,Archery,team (FITA Olympic round - 70m),W,"YUN, Mi-Jin",Women,KOR,0,0,1
Athletics,Athletics,4x400m relay,M,"UDO OBONG, Enefiok",Men,NGR,0,1,0
Aquatics,Swimming,4x100m medley relay,W,"TORRES, Dara",Women,USA,0,0,1
Softball,Softball,softball,W,"ITO, Kazue",Women,JPN,0,1,0
Volleyball,Volleyball,volleyball,M,"PETKOVIC, Veljko",Men,YUG,0,0,1
Aquatics,Swimming,1500m freestyle,M,"PERKINS, Kieren John",Men,AUS,0,1,0
Gymnastics,Artistic G.,team competition,W,"CHOW, Amy",Women,USA,1,0,0
Table Tennis,Table Tennis,doubles,W,"LI, Ju",Women,CHN,0,0,1
Volleyball,Volleyball,volleyball,W,"COSTA, Marlenis",Women,CUB,0,0,1
Shooting,Shooting,50m rifle 3 positions (3x40 shots),M,"HIRVI, Juha",Men,FIN,0,1,0
Cycling,Cycling Track,Olympic Sprint,M,"HOY, Chris",Men,GBR,0,1,0
Handball,Handball,handball,W,"NIELSEN, Anja",Women,DEN,0,0,1
Shooting,Shooting,50m rifle 3 positions (3x40 shots),M,"STENVAAG, Harald",Men,NOR,1,0,0
Baseball,Baseball,baseball,M,"VALLE, Lazaro",Men,CUB,0,1,0
Judo,Judo,+ 78kg (heavyweight),W,"YUAN, Hua",Women,CHN,0,0,1
Baseball,Baseball,baseball,M,"SEAY, Bobby",Men,USA,0,0,1
Athletics,Athletics,4x100m relay,W,"CAMPBELL-BROWN, Veronica",Women,JAM,0,1,0
Aquatics,Swimming,4x100m medley relay,M,"WALKER, Neil",Men,USA,0,0,1
Aquatics,Diving,synchronized diving 10m platform,W,"SANG, Xue",Women,CHN,0,0,1
Aquatics,Diving,synchronized diving 10m platform,M,"HU, Jia",Men,CHN,0,1,0
Aquatics,Synchronized S.,duet,W,"KISSELEVA, Maria",Women,RUS,0,0,1
Aquatics,Diving,synchronized diving 10m platform,M,"HEMPEL, Jan",Men,GER,1,0,0
Volleyball,Beach volley.,beach volleyball,M,"BLANTON, Dain",Men,USA,0,0,1
Equestrian,Dressage,team,X,"TRAURIG, Christine",Women,USA,1,0,0
Rowing,Rowing,double sculls (2x),M,"SARTORI, Nicola",Men,ITA,1,0,0
Aquatics,Swimming,4x100m freestyle relay,M,"SILVA FILHO, Edvaldo",Men,BRA,1,0,0
Equestrian,Jumping,individual,X,"ALEID, Khaled",Men,KSA,1,0,0
Volleyball,Volleyball,volleyball,W,"FRANCIA, Mirka",Women,CUB,0,0,1
Aquatics,Swimming,4x200m freestyle relay,M,"RAUCH, Jamie",Men,USA,0,1,0
Sailing,Sailing,two-person keelboat open (Star),X,"REYNOLDS, Mark Jeffrey",Men,USA,0,0,1
Rowing,Rowing,single sculls (1x),W,"NEYKOVA, Rumyana",Women,BUL,0,1,0
Aquatics,Swimming,4x100m medley relay,W,"THOMAS, Petria",Women,AUS,0,1,0
Badminton,Badminton,doubles,W,"HUANG, Nanyan",Women,CHN,0,1,0
Canoe / Kayak,Canoe / Kayak F,K-4 1000m (kayak four),M,"KAMMERER, Zoltan",Men,HUN,0,0,1
Triathlon,Triathlon,Individual,W,"MCMAHON, Brigitte",Women,SUI,0,0,1
Football,Football,football,W,"LEHN, Unni",Women,NOR,0,0,1
Football,Football,football,M,"FERRON, Jordi",Men,ESP,0,1,0
Volleyball,Beach volley.,beach volleyball,W,"SAMUEL RAMOS, Adriana",Women,BRA,1,0,0
Judo,Judo,52 - 57kg (lightweight),W,"KUSAKABE, Kie",Women,JPN,1,0,0
Softball,Softball,softball,W,"BERG, Laura",Women,USA,0,0,1
Boxing,Boxing,48 - 51kg (flyweight),M,"THOMAS, Jerome",Men,FRA,1,0,0
Handball,Handball,handball,M,"FRANDESJO, Martin",Men,SWE,0,1,0
Aquatics,Water polo,water polo,M,"GORSHKOV, Dmitry",Men,RUS,0,1,0
Softball,Softball,softball,W,"MATSUMOTO, Naomi",Women,JPN,0,1,0
Volleyball,Beach volley.,beach volleyball,M,"SANTOS, Ricardo",Men,BRA,0,1,0
Aquatics,Swimming,4x100m medley relay,W,"SHEALY, Courtney",Women,USA,0,0,1
Aquatics,Swimming,4x100m freestyle relay,W,"GROOT, Chantal",Women,NED,0,1,0
Baseball,Baseball,baseball,M,"KIM, Han-Soo",Men,KOR,1,0,0
Aquatics,Diving,10m platform,W,"WILKINSON, Laura",Women,USA,0,0,1
Wrestling,Wrestling Free.,58 - 63kg,M,"BARZAKOV, Serafim",Men,BUL,0,1,0
Aquatics,Swimming,100m backstroke,M,"WELSH, Matthew",Men,AUS,0,1,0
Aquatics,Swimming,400m freestyle,M,"KELLER, Klete",Men,USA,1,0,0
Basketball,Basketball,basketball,W,"ARCAIN, Janeth",Women,BRA,1,0,0
Hockey,Hockey,hockey,W,"SMABERS, Hanneke",Women,NED,1,0,0
Canoe / Kayak,Canoe / Kayak F,K-2 500m (kayak double),M,"STORCZ, Botond",Men,HUN,0,0,1
Wrestling,Wrestling Gre-R,54 - 58kg,M,"KIM, In-Sub",Men,KOR,0,1,0
Taekwondo,Taekwondo,- 58 kg,M,"ESPARZA, Gabriel",Men,ESP,0,1,0
Boxing,Boxing,71-75kg,M,"GUTIERREZ, Jorge",Men,CUB,0,0,1
Hockey,Hockey,hockey,M,"LOMANS, Bram",Men,NED,0,0,1
Gymnastics,Rhythmic G.,individual all-round,W,"KABAEVA, Alina",Women,RUS,1,0,0
Aquatics,Water polo,water polo,M,"BENEDEK, Tibor",Men,HUN,0,0,1
Equestrian,Eventing,individual,X,"HOY, Andrew",Men,AUS,0,1,0
Hockey,Hockey,hockey,M,"VAN DER WEIDE, Sander",Men,NED,0,0,1
Aquatics,Water polo,water polo,W,"SWAIL, Julie",Women,USA,0,1,0
Judo,Judo,81 - 90kg (middleweight),M,"MASHURENKO, Ruslan",Men,UKR,1,0,0
Cycling,Cycling Track,individual pursuit,W,"CLIGNET, Marion",Women,FRA,0,1,0
Aquatics,Swimming,4x100m freestyle relay,W,"SVAHNSTROM, Malin",Women,SWE,1,0,0
Aquatics,Swimming,4x200m freestyle relay,W,"THOMAS, Petria",Women,AUS,0,1,0
Athletics,Athletics,heptathlon,W,"PROKHOROVA, Yelena",Women,RUS,0,1,0
Athletics,Athletics,4x100m relay,W,"LEWIS, Eldice",Women,BAH,0,0,1
Aquatics,Diving,10m platform,W,"LI, Na",Women,CHN,0,1,0
Athletics,Athletics,100m hurdles,W,"MORRISON, Melissa",Women,USA,1,0,0
Basketball,Basketball,basketball,W,"EDWARDS, Teresa",Women,USA,0,0,1
Boxing,Boxing,75 - 81kg (light-heavyweight),M,"MIHAYLOV, Sergey",Men,UZB,1,0,0
Canoe / Kayak,Canoe / Kayak F,K-2 1000m (kayak double),M,"BARTFAI, Krisztian",Men,HUN,1,0,0
Baseball,Baseball,baseball,M,"KINDELAN, Orestes",Men,CUB,0,1,0
Hockey,Hockey,hockey,W,"MAIZTEGUI, Laura",Women,ARG,0,1,0
Football,Football,football,W,"SCURRY, Briana",Women,USA,0,1,0
