Sport,Discipline,Event,Event_gender,Athlete_Name,Gender,Country_ID,Bronze,Silver,Gold
Rowing,Rowing,lightweight coxless four (4-),M,"PFAENDTNER, Jeff",Men,USA,1,0,0
Aquatics,Water polo,water polo,M,"GERINI, Marco",Men,ITA,1,0,0
Rowing,Rowing,lightweight coxless four (4-),M,"COLLINS, David",Men,USA,1,0,0
Fencing,Fencing,foil team,W,"VEZZALI, Valentina",Women,ITA,0,0,1
Aquatics,Swimming,200m freestyle,M,"LOADER, Danyon Joseph",Men,NZL,0,0,1
Athletics,Athletics,10000m walk,W,"NIKOLAYEVA, Yelena",Women,RUS,0,0,1
Aquatics,Water polo,water polo,M,"ROLLAN, Jesus",Men,ESP,0,0,1
Baseball,Baseball,baseball,M,"HERNANDEZ, Alberto",Men,CUB,0,0,1
Equestrian,Jumping,individual,X,"KIRCHHOFF, Ulrich",Men,GER,0,0,1
Softball,Softball,softball,W,"YAN, Fang",Women,CHN,0,1,0
Shooting,Shooting,50m running target (30+30 shots),M,"JANUS, Miroslav",Men,CZE,1,0,0
Aquatics,Swimming,4x100m freestyle relay,W,"SHAN, Ying",Women,CHN,0,1,0
Football,Football,football,W,"MACMILLAN, Shannon",Women,USA,0,0,1
Aquatics,Synchronized S.,team,W,"DYROEN-LANCER, Becky",Women,USA,0,0,1
Softball,Softball,softball,W,"RICHARDSON, Dorothy",Women,USA,0,0,1
Hockey,Hockey,hockey,M,"DELISSEN, Marc",Men,NED,0,0,1
Aquatics,Swimming,100m backstroke,W,"BOTSFORD, Beth",Women,USA,0,0,1
Fencing,Fencing,épée team,W,"GARAYEVA, Yuliya",Women,RUS,1,0,0
Boxing,Boxing,67 - 71kg (light-middleweight),M,"IBZAIMOV, Ezmouhan",Men,KAZ,1,0,0
Athletics,Athletics,4x400m relay,M,"BLAKE, Dennis Anthony",Men,JAM,1,0,0
Rowing,Rowing,single sculls (1x),M,"LANGE, Thomas",Men,GER,1,0,0
Archery,Archery,individual (FITA Olympic round - 70m),M,"OH, Kyo-Moon",Men,KOR,1,0,0
Basketball,Basketball,basketball,M,"OLAJUWON, Hakeem",Men,USA,0,0,1
Wrestling,Wrestling Free.,100 - 130kg (super heavyweight),M,"DEMIR, Mahmut",Men,TUR,0,0,1
Fencing,Fencing,sabre team,M,"CHARIKOV, Serguei",Men,RUS,0,0,1
Aquatics,Diving,3m springboard,W,"LASHKO, Irina",Women,RUS,0,1,0
Athletics,Athletics,4x100m relay,W,"FYNES, Sevatheda",Women,BAH,0,1,0
Gymnastics,Artistic G.,parallel bars,M,"LYNCH, Jair",Men,USA,0,1,0
Aquatics,Swimming,4x200m freestyle relay,W,"GREVILLE, Julia",Women,AUS,1,0,0
Gymnastics,Artistic G.,horizontal bar,M,"WECKER, Andreas",Men,GER,0,0,1
Aquatics,Swimming,4x100m freestyle relay,W,"VALERIO, Melanie",Women,USA,0,0,1
Athletics,Athletics,3000m steeplechase,M,"LAMBRUSCHINI, Alessandro",Men,ITA,1,0,0
Archery,Archery,team (FITA Olympic round - 70m),W,"MENSING, Barbara",Women,GER,0,1,0
Aquatics,Swimming,200m breaststroke,W,"BEARD, Amanda",Women,USA,0,1,0
Cycling,Cycling Track,Points Race,M,"O'GRADY, Stuart",Men,AUS,1,0,0
Athletics,Athletics,marathon,M,"LEE, Bong-Ju",Men,KOR,0,1,0
