Sport,Discipline,Event,Event_gender,Athlete_Name,Gender,Country_ID,Bronze,Silver,Gold
Cycling,BMX,individual,W,"KINTNER, Jill",Women,USA,1,0,0
Gymnastics,Artistic G.,team competition,M,"ZOU, Kai",Men,CHN,0,0,1
Aquatics,Swimming,4x100m freestyle relay,M,"TARGETT, Matt",Men,AUS,1,0,0
Handball,Handball,handball,M,"STEFANSSON, Olafur",Men,ISL,0,1,0
Gymnastics,Artistic G.,team competition,W,"TAMIRJAN, Anamaria",Women,ROU,1,0,0
Taekwondo,Taekwondo,49 - 57 kg,W,"ZUBCIC, Martina",Women,CRO,1,0,0
Shooting,Shooting,double trap (150 targets),M,"HU, Binyuan",Men,CHN,1,0,0
Football,Football,football,W,"WAGNER, Aly",Women,USA,0,0,1
Table Tennis,Table Tennis,team,W,"LI, Jiawei",Women,SIN,0,1,0
Canoe / Kayak,Canoe / Kayak S,C-2 (canoe double),M,"VOLF, Jaroslav",Men,CZE,0,1,0
Canoe / Kayak,Canoe / Kayak S,K-1 (kayak single),W,"KALISKA, Elena",Women,SVK,0,0,1
Wrestling,Wrestling Free.,- 55kg,M,"KUDUKHOV, Besik",Men,RUS,1,0,0
Football,Football,football,M,JO,Men,BRA,1,0,0
Cycling,Cycling Track,Team Pursuit (4000m),M,"WIGGINS, Bradley",Men,GBR,0,0,1
Athletics,Athletics,20km walk,M,"BORCHIN, Valeriy",Men,RUS,0,0,1
Football,Football,football,M,"MASCHERANO, Javier",Men,ARG,0,0,1
Hockey,Hockey,hockey,M,"RIBAS, Xavier",Men,ESP,0,1,0
Handball,Handball,handball,W,"MARENNIKOVA, Ekaterina",Women,RUS,0,1,0
Gymnastics,Artistic G.,floor exercises,W,"JOHNSON, Shawn",Women,USA,0,1,0
Weightlifting,Weightlifting,+ 75kg,W,"JANG, Miran",Women,KOR,0,0,1
Football,Football,football,M,"ODEMWINGIE, Peter",Men,NGR,0,1,0
Aquatics,Water polo,water polo,M,"MERLO, Rick",Men,USA,0,1,0
Cycling,Cycling Track,individual pursuit,W,"ROMERO, Rebecca",Women,GBR,0,0,1
Hockey,Hockey,hockey,W,"GULLA, Alejandra",Women,ARG,1,0,0
Sailing,Sailing,49er - Skiff,X,"IBSEN, Martin Kirketerp",Men,DEN,0,0,1
Aquatics,Synchronized S.,team,W,"TIRADOS, Paola",Women,ESP,0,1,0
Gymnastics,Artistic G.,rings,M,"CHEN, Yibing",Men,CHN,0,0,1
Judo,Judo,66 - 73kg (lightweight),M,"BOQIEV, Rasul",Men,TJK,1,0,0
Football,Football,football,W,"HUCLES, Angela",Women,USA,0,0,1
Football,Football,football,W,"BUEHLER, Rachel",Women,USA,0,0,1
Basketball,Basketball,basketball,M,"GINOBILI, Emanuel David",Men,ARG,1,0,0
Athletics,Athletics,400m hurdles,W,"WALKER, Melaine",Women,JAM,0,0,1
Weightlifting,Weightlifting,+ 105kg,M,"SCERBATIHS, Viktors",Men,LAT,1,0,0
Aquatics,Synchronized S.,team,W,"GROMOVA, Maria",Women,RUS,0,0,1
Fencing,Fencing,sabre team,M,"LOPEZ, Nicolas",Men,FRA,0,0,1
Canoe / Kayak,Canoe / Kayak F,K-4 1000m (kayak four),M,"PIATRUSHENKA, Raman",Men,BLR,0,0,1
Hockey,Hockey,hockey,M,"GUEST, David",Men,AUS,1,0,0
Handball,Handball,handball,W,"NYBERG, Katja",Women,NOR,0,0,1
Archery,Archery,individual (FITA Olympic round - 70m),M,"BADENOV, Bair",Men,RUS,1,0,0
Taekwondo,Taekwondo,+ 67 kg,W,"STEVENSON, Sarah",Women,GBR,1,0,0
Sailing,Sailing,Star - Keelboat,M,"EKSTROM, Anders",Men,SWE,1,0,0
Table Tennis,Table Tennis,team,M,"WANG, Hao",Men,CHN,0,0,1
Athletics,Athletics,10000m,M,"BEKELE, Kenenisa",Men,ETH,0,0,1
Aquatics,Swimming,4x100m medley relay,W,"SONI, Rebecca",Women,USA,0,1,0
Baseball,Baseball,baseball,M,"PARK, Jinman",Men,KOR,0,0,1
Canoe / Kayak,Canoe / Kayak F,K-4 500m (kayak four),W,"FOGARTY, Lyndsie",Women,AUS,1,0,0
Sailing,Sailing,Finn - Heavyweight Dinghy,X,"RAILEY, Zach",Men,USA,0,1,0
Volleyball,Volleyball,volleyball,W,"LI, Juan",Women,CHN,1,0,0
Aquatics,Swimming,4x100m freestyle relay,M,"JONES, Cullen",Men,USA,0,0,1
Aquatics,Swimming,4x200m freestyle relay,W,"VANDENBERG, Kim",Women,USA,1,0,0
Equestrian,Jumping,team,X,"SCHWIZER, Pius",Men,SUI,1,0,0
Aquatics,Swimming,4x100m medley relay,W,"TORRES, Dara",Women,USA,0,1,0
Aquatics,Swimming,50m freestyle,M,"LEVEAUX, Amaury",Men,FRA,0,1,0
Cycling,Cycling Track,Points Race,M,"NEWTON, Chris",Men,GBR,1,0,0
Volleyball,Volleyball,volleyball,W,"STEINBRECHER, Marianne",Women,BRA,0,0,1
Aquatics,Water polo,water polo,M,"KIS, Gabor",Men,HUN,0,0,1
Football,Football,football,W,PRETINHA,Women,BRA,0,1,0
Rowing,Rowing,lightweight double sculls (2x),M,"HUNTER, Mark",Men,GBR,0,0,1
Athletics,Athletics,shot put,M,"MAJEWSKI, Tomasz",Men,POL,0,0,1
Fencing,Fencing,foil individual,M,"SANZO, Salvatore",Men,ITA,1,0,0
Sailing,Sailing,49er - Skiff,X,"PECKOLT, Hannes",Men,GER,1,0,0
Judo,Judo,90 - 100kg (half-heavyweight),M,"NAIDAN, Tuvshinbayar",Men,MGL,0,0,1
Fencing,Fencing,foil team,W,"SALVATORI, Ilaria",Women,ITA,1,0,0
Equestrian,Eventing,team,X,"COOK, Kristina",Women,GBR,1,0,0
Football,Football,football,W,"CHENEY, Lauren",Women,USA,0,0,1
Baseball,Baseball,baseball,M,"PALMA, Adiel",Men,CUB,0,1,0
Aquatics,Water polo,water polo,W,"VAN DEN BERG, Gillian",Women,NED,0,0,1
Shooting,Shooting,skeet (125 targets),M,"BROVOLD, Tore",Men,NOR,0,1,0
Football,Football,football,M,THIAGO SILVA,Men,BRA,1,0,0
Wrestling,Wrestling Free.,66 - 74kg,M,"TIGIEV, Soslan",Men,UZB,0,1,0
Canoe / Kayak,Canoe / Kayak F,C-1 1000m (canoe single),M,"HALL, Thomas",Men,CAN,1,0,0
Rowing,Rowing,lightweight double sculls (2x),W,"STEN, Sanna",Women,FIN,0,1,0
Athletics,Athletics,marathon,M,"KEBEDE, Tsegay",Men,ETH,1,0,0
Hockey,Hockey,hockey,W,"LUCHETTI, Rosario",Women,ARG,1,0,0
Rowing,Rowing,lightweight double sculls (2x),W,"VAN EUPEN, Marit",Women,NED,0,0,1
Hockey,Hockey,hockey,W,"VAN AS, Naomi",Women,NED,0,0,1
Wrestling,Wrestling Free.,84 - 96kg,M,"GOGSHELIDZE, George",Men,GEO,1,0,0
Aquatics,Swimming,200m individual medley,M,"LOCHTE, Ryan",Men,USA,1,0,0
Athletics,Athletics,20km walk,M,"PEREZ, Jefferson",Men,ECU,0,1,0
Aquatics,Swimming,100m breaststroke,M,"OEN, Alexander Dale",Men,NOR,0,1,0
Hockey,Hockey,hockey,W,"LI, Shuang",Women,CHN,0,1,0
Rowing,Rowing,single sculls (1x),W,"KARSTEN, Ekaterina",Women,BLR,1,0,0
Athletics,Athletics,high jump,W,"HELLEBAUT, Tia",Women,BEL,0,0,1
Fencing,Fencing,foil team,W,"CROSS, Emily",Women,USA,0,1,0
Athletics,Athletics,pole vault,M,"HOOKER, Steve",Men,AUS,0,0,1
Sailing,Sailing,Finn - Heavyweight Dinghy,X,"AINSLIE, Ben",Men,GBR,0,0,1
Aquatics,Water polo,water polo,M,"PIJETLOVIC, Dusko",Men,SRB,1,0,0
Volleyball,Volleyball,volleyball,W,"ZHOU, Suhong",Women,CHN,1,0,0
Aquatics,Swimming,4x100m freestyle relay,W,"VELDHUIS, Marleen",Women,NED,0,0,1
Fencing,Fencing,sabre team,W,"BAO, Yingying",Women,CHN,0,1,0
Gymnastics,Rhythmic G.,group competition,W,"ZHANG, Shuo",Women,CHN,0,1,0
Baseball,Baseball,baseball,M,"BROWN, Matt",Men,USA,1,0,0
Handball,Handball,handball,M,"GIRAULT, Olivier",Men,FRA,0,0,1
Athletics,Athletics,400m hurdles,W,"DANVERS, Tasha",Women,GBR,1,0,0
Aquatics,Swimming,4x200m freestyle relay,W,"SCHLANGER, Melanie",Women,AUS,0,0,1
Fencing,Fencing,épée individual,M,"TAGLIARIOL, Matteo",Men,ITA,0,0,1
Aquatics,Swimming,4x200m freestyle relay,M,"HACKETT, Grant",Men,AUS,1,0,0
Aquatics,Swimming,200m breaststroke,M,"RICKARD, Brenton",Men,AUS,0,1,0
Rowing,Rowing,eight with coxswain (8+),W,"LOGAN, Elle",Women,USA,0,0,1
Aquatics,Diving,3m springboard,W,"PAKHALINA, Julia",Women,RUS,0,1,0
Hockey,Hockey,hockey,M,"FERNANDEZ, Juan",Men,ESP,0,1,0
Athletics,Athletics,4x100m relay,W,"KEMASUODE, Gloria",Women,NGR,1,0,0
Aquatics,Swimming,4x100m medley relay,M,"SPRENGER, Christian",Men,AUS,0,1,0
Equestrian,Eventing,team,X,"FREDERICKS, Clayton",Men,AUS,0,1,0
Hockey,Hockey,hockey,M,"ARBOS, Eduard",Men,ESP,0,1,0
Canoe / Kayak,Canoe / Kayak F,K-2 500m (kayak double),W,"VIARD, Anne-Laure",Women,FRA,1,0,0
Aquatics,Synchronized S.,team,W,"LUO, Xi",Women,CHN,1,0,0
Fencing,Fencing,sabre team,M,"MOREHOUSE, Tim",Men,USA,0,1,0
Judo,Judo,60 - 66kg (half-lightweight),M,"UCHISHIBA, Masato",Men,JPN,0,0,1
Basketball,Basketball,basketball,W,"LISINA, Ekaterina",Women,RUS,1,0,0
Basketball,Basketball,basketball,W,"HARROWER, Kristi",Women,AUS,0,1,0
Rowing,Rowing,lightweight double sculls (2x),M,"POLYMEROS, Vasileios",Men,GRE,0,1,0
Fencing,Fencing,sabre team,W,"KHARLAN, Olga",Women,UKR,0,0,1
Boxing,Boxing,75 - 81kg (light-heavyweight),M,"SHYNALIYEV, Yerkebulan",Men,KAZ,1,0,0
Basketball,Basketball,basketball,M,"HOWARD, Dwight",Men,USA,0,0,1
Baseball,Baseball,baseball,M,"ODELIN SANAME, Vicyohandri",Men,CUB,0,1,0
Sailing,Sailing,Tornado - Multihull,X,"BUNDOCK, Darren",Men,AUS,0,1,0
Aquatics,Swimming,4x100m medley relay,M,"PHELPS, Michael",Men,USA,0,0,1
Aquatics,Swimming,100m freestyle,M,"SULLIVAN, Eamon",Men,AUS,0,1,0
Sailing,Sailing,Tornado - Multihull,X,"ECHAVARRI, Fernando",Men,ESP,0,0,1
Canoe / Kayak,Canoe / Kayak F,K-1 500m (kayak single),W,"WAGNER-AUGUSTIN, Katrin",Women,GER,1,0,0
Equestrian,Eventing,individual,X,"MILES, Gina",Women,USA,0,1,0
Modern Pentathlon,Modern Pentath.,Individual competition,M,"ZADNEPROVSKIS, Andrejus",Men,LTU,1,0,0
Aquatics,Diving,synchronized diving 3m springboard,W,"FISCHER, Heike",Women,GER,1,0,0
Baseball,Baseball,baseball,M,"LAZO, Pedro Luis",Men,CUB,0,1,0
Canoe / Kayak,Canoe / Kayak F,K-2 500m (kayak double),M,"WIESKOTTER, Tim",Men,GER,0,1,0
Basketball,Basketball,basketball,W,"GRIMA, Hollie",Women,AUS,0,1,0
Gymnastics,Trampoline,individual,M,"LU, Chunlong",Men,CHN,0,0,1
Volleyball,Volleyball,volleyball,M,"HELLER, Andre",Men,BRA,0,1,0
Hockey,Hockey,hockey,M,"MEINERT, Niklas",Men,GER,0,0,1
Tennis,Tennis,singles,M,"NADAL, Rafael",Men,ESP,0,0,1
Football,Football,football,M,"OKORONKWO, Solomon",Men,NGR,0,1,0
Rowing,Rowing,eight with coxswain (8+),W,"MUSAT, Simona Dumitrita",Women,ROU,1,0,0
Handball,Handball,handball,M,"INGIMUNDARSON, Ingimundur",Men,ISL,0,1,0
Hockey,Hockey,hockey,M,"FABREGAS, Alex",Men,ESP,0,1,0
Baseball,Baseball,baseball,M,"YOON, Suk Min",Men,KOR,0,0,1
Boxing,Boxing,48kg (light flywieght),M,"BARNES, Paddy",Men,IRL,1,0,0
Aquatics,Water polo,water polo,M,"VUJASINOVIC, Vladimir",Men,SRB,1,0,0
Aquatics,Water polo,water polo,W,"VAN BELKUM, Iefke",Women,NED,0,0,1
Aquatics,Swimming,4x100m freestyle relay,M,"STEIMETZ, Boris",Men,FRA,0,1,0
Aquatics,Swimming,4x100m medley relay,M,"KITAJIMA, Kosuke",Men,JPN,1,0,0
Handball,Handball,handball,M,"SIGURDSSON, Sigfus",Men,ISL,0,1,0
Basketball,Basketball,basketball,M,"GUTIERREZ, Leonardo Martin",Men,ARG,1,0,0
Rowing,Rowing,double sculls (2x),W,"HUTH, Christiane",Women,GER,0,1,0
Judo,Judo,63 - 70kg (middleweight),W,"HERNANDEZ, Anaysi",Women,CUB,0,1,0
Aquatics,Swimming,4x100m medley relay,W,"SEEBOHM, Emily",Women,AUS,0,0,1
Tennis,Tennis,doubles,M,"BRYAN, Bob",Men,USA,1,0,0
Baseball,Baseball,baseball,M,"NAVAS, Luis",Men,CUB,0,1,0
Canoe / Kayak,Canoe / Kayak F,K-4 1000m (kayak four),M,"LITVINCHUK, Artur",Men,BLR,0,0,1
Aquatics,Swimming,200m backstroke,M,"LOCHTE, Ryan",Men,USA,0,0,1
