Sport,Discipline,Event,Event_gender,Athlete_Name,Gender,Country_ID,Bronze,Silver,Gold
Gymnastics,Rhythmic G.,individual all-round,W,"TIMOSHENKO, Alexandra",Women,URS,1,0,0
Volleyball,Volleyball,volleyball,W,"FAJARDO, Denisse",Women,PER,0,1,0
Rowing,Rowing,four-oared shell with coxswain (4-),M,"LOVRENSCHI, Ladislau",Men,ROU,0,1,0
Basketball,Basketball,basketball,M,"PANKRASHKIN, Viktor",Men,URS,0,0,1
Aquatics,Swimming,200m freestyle,W,"STELLMACH, Manuela",Women,GDR,1,0,0
Rowing,Rowing,four-oared shell with coxswain (4-),W,"HORNIG, Carola",Women,GDR,0,0,1
Tennis,Tennis,singles,M,"MAYOTTE, Timothy C.",Men,US,0,1,0
Aquatics,Swimming,4x200m freestyle relay,M,"LODZIEWSKI, Sven",Men,GDR,0,1,0
Archery,Archery,individual FITA round,W,"WANG, Hee-Kyung",Women,KOR,0,1,0
Tennis,Tennis,doubles,M,"CASAL MARTINEZ, Sergio",Men,ESP,0,1,0
Wrestling,Wrestling Free.,90 - 100kg (heavyweight),M,"SCHERR, William Edwin",Men,US,1,0,0
Equestrian,Eventing,team,X,"HOLGATE-LENG, Virginia",Women,GBR,0,1,0
Wrestling,Wrestling Gre-R,100 - 130kg (super heavyweight),M,"KARELIN, Aleksandr",Men,URS,0,0,1
Cycling,Cycling Track,Points Race,M,"FROST, Dan",Men,DEN,0,0,1
Rowing,Rowing,eight with coxswain (8+),W,"BAZON, Adriana",Women,ROU,0,1,0
Wrestling,Wrestling Free.,90 - 100kg (heavyweight),M,"KHABELOV, Yuri",Men,URS,0,1,0
Canoe / Kayak,Canoe / Kayak F,K-2 500m (kayak double),W,"NOTHNAGEL-VON SECK, Anke",Women,GDR,0,0,1
Aquatics,Swimming,200m breaststroke,M,"GILLINGHAM, Nick",Men,GBR,0,1,0
Aquatics,Swimming,4x100m medley relay,W,"HIGSON, Allison Ann",Women,CAN,1,0,0
Sailing,Sailing,470 - Two Person Dinghy,M,"PEPONNET, Thierry",Men,FRA,0,0,1
Hockey,Hockey,hockey,W,"SEO, Hyo-Sun",Women,KOR,0,1,0
Football,Football,football,M,"SKLYAROV, Igor",Men,URS,0,0,1
Handball,Handball,handball,W,"STEEN, Ingrid",Women,NOR,0,1,0
Handball,Handball,handball,W,"MIDTHUN, Kristin",Women,NOR,0,1,0
Handball,Handball,handball,W,"BAZANOVA, Marina",Women,URS,1,0,0
Handball,Handball,handball,W,"MORSKOVA, Natalia",Women,URS,1,0,0
Fencing,Fencing,épée individual,M,"RIBOUD, Philippe",Men,FRA,0,1,0
Fencing,Fencing,épée team,M,"LENGLET, Olivier",Men,FRA,0,0,1
Shooting,Shooting,10m air pistol (60 shots),M,"XU, Haifeng",Men,CHN,1,0,0
Wrestling,Wrestling Free.,74 - 82kg (middleweight),M,"LOHYNA, Jozef",Men,TCH,1,0,0
Fencing,Fencing,foil team,W,"KOVACS, Edit",Women,HUN,1,0,0
Aquatics,Swimming,100m freestyle,M,"CARON, Stephan",Men,FRA,1,0,0
Cycling,Cycling Road,team time trial,M,"JASKULA, Zenon",Men,POL,0,1,0
Handball,Handball,handball,W,"KIM, Kyung-Soon",Women,KOR,0,0,1
Hockey,Hockey,hockey,M,"FRANK, Tobias",Men,FRG,0,1,0
Tennis,Tennis,doubles,W,"SUKOVA, Helena",Women,TCH,0,1,0
Canoe / Kayak,Canoe / Kayak F,K-1 1000m (kayak single),M,"WOHLLEBE, Andre",Men,GDR,1,0,0
Canoe / Kayak,Canoe / Kayak F,K-2 1000m (kayak double),M,"MAC DONALD, Christopher Paul",Men,NZL,0,1,0
Aquatics,Swimming,200m freestyle,M,"ARMSTRONG, Duncan John",Men,AUS,0,0,1
